TRAIL NUM,1k SELECT,1k DELETE,1k INSERT,1k UPDATE,100K SELECT,100K DELETE,100K INSERT,100K UPDATE
0,0.15914150000000005,0.161802,0.16222750000000008,0.16159459999999992,0.18043539999999325,0.16244329999999252,0.16180949999998973,0.16285399999999584
1,0.15892499999999998,0.16325429999999996,0.16233129999999996,0.16288970000000003,0.1798780000000022,0.16303800000000024,0.16194480000000055,0.16442130000000077
2,0.15871970000000024,0.1610362999999999,0.16297840000000008,0.16402729999999988,0.18002590000000396,0.16182489999999916,0.162550600000003,0.16225930000000233
3,0.1587554,0.16260169999999974,0.16239659999999967,0.16244389999999997,0.17978990000000294,0.1632093999999995,0.16227069999999344,0.16299509999998918
4,0.15967930000000008,0.16210570000000013,0.1626063000000002,0.16256020000000015,0.1801186999999942,0.16134750000000508,0.16231070000000614,0.16210399999999936
5,0.15859860000000037,0.1626205999999999,0.16213360000000065,0.16332509999999978,0.17909110000000794,0.16295219999999233,0.16229229999999006,0.16217230000000882
6,0.15892030000000013,0.16302219999999945,0.1628216,0.16280170000000016,0.17944699999999614,0.16260210000000086,0.16270089999999016,0.1619936000000024
7,0.15904659999999993,0.16525670000000048,0.16236430000000013,0.16283160000000052,0.17864849999999421,0.16308910000000765,0.16310979999998665,0.1624713000000071
8,0.15848330000000033,0.16190390000000043,0.16193159999999995,0.16102279999999958,0.1797420000000045,0.1654309999999981,0.1618569999999977,0.16348659999999882
9,0.15763999999999978,0.1624062000000004,0.16167219999999993,0.16222579999999986,0.1789150000000035,0.16279109999999264,0.16242069999999842,0.16251949999998772
10,0.15725180000000005,0.1621826000000004,0.160933,0.16198660000000054,0.18008759999999313,0.16273689999999874,0.16239190000000292,0.1619136999999995
11,0.15778650000000027,0.16164530000000088,0.16208810000000007,0.1609544000000005,0.17966359999999781,0.16218450000000928,0.16228690000001222,0.16214130000000182
12,0.16062520000000013,0.16508209999999934,0.16237980000000007,0.16259599999999885,0.18217900000000498,0.16214309999999443,0.16258249999999919,0.1621214999999978
13,0.15973429999999844,0.16358780000000017,0.16221110000000039,0.16377780000000008,0.17930390000000784,0.16243860000000154,0.1624561,0.16325129999999888
14,0.15942670000000092,0.16279420000000044,0.16261749999999964,0.1622488999999998,0.18002869999999405,0.16308560000000227,0.16313209999999856,0.16215770000000873
15,0.1589318000000013,0.16238779999999942,0.16197400000000073,0.16255259999999971,0.1789274000000063,0.1621990000000011,0.16197670000001096,0.16263010000000122
16,0.15908179999999916,0.1640617000000013,0.16189959999999992,0.16145539999999947,0.17950820000000078,0.16316779999999653,0.16199199999999792,0.1620152999999931
17,0.15928439999999888,0.16459639999999887,0.16230949999999922,0.16279809999999983,0.1840068000000059,0.161842699999994,0.1625396999999964,0.1620800000000031
18,0.15854569999999946,0.16223799999999855,0.16411199999999937,0.1621472000000015,0.1797234000000003,0.1623395999999957,0.16241409999999235,0.16218489999999974
19,0.15927630000000015,0.16255549999999985,0.1634935999999989,0.1626656999999998,0.1792070999999993,0.16238179999999147,0.1629018000000002,0.16233319999999196
20,0.1604063,0.1623858000000009,0.16129450000000034,0.1640782999999999,0.1794313000000045,0.16278960000001064,0.16244220000000098,0.1620890000000088
21,0.15855680000000127,0.16189420000000077,0.16253320000000038,0.1642033999999999,0.17863230000000385,0.16195539999999653,0.16253120000000365,0.16215069999999798
22,0.15860750000000046,0.16253659999999925,0.1634537999999992,0.16288020000000003,0.17961199999999167,0.16234730000000752,0.1628345999999965,0.16200020000000848
23,0.15847710000000248,0.1620507,0.1619363000000007,0.16296359999999943,0.17913849999999343,0.16314800000000673,0.16265020000000163,0.1633770000000112
24,0.15870749999999845,0.1634563,0.1623221000000008,0.16308150000000055,0.1799182999999971,0.16253789999998958,0.16215429999999742,0.16239000000000203
25,0.15895520000000118,0.161886599999999,0.16287050000000036,0.1624719999999975,0.1789066000000048,0.16258499999999287,0.16169210000001044,0.16373070000000212
26,0.15839859999999817,0.1644582000000021,0.16217650000000106,0.1632062000000012,0.1799366000000049,0.1623571999999882,0.16279020000000344,0.16244810000000598
27,0.15813500000000147,0.16244860000000116,0.1618978999999996,0.1629491000000023,0.17958459999999832,0.1619636000000071,0.16244409999998766,0.16237510000000555
28,0.1592281999999976,0.1628329000000015,0.16433600000000226,0.1642936000000006,0.18077610000000277,0.16316720000000373,0.16226380000000518,0.16196970000000022
29,0.1588193000000011,0.1625464999999977,0.16165909999999784,0.16346580000000088,0.17914190000000474,0.165732399999996,0.1626726000000076,0.16236630000000218
30,0.15849340000000112,0.16358749999999844,0.16223489999999785,0.16215139999999906,0.1802069999999958,0.16266540000000873,0.161651599999999,0.16254289999999116
31,0.15912220000000232,0.16320580000000007,0.16220060000000203,0.1626164999999986,0.1793957000000006,0.1618592000000092,0.16182500000000744,0.16360210000000563
32,0.1596972000000001,0.16302710000000076,0.16191219999999973,0.16272130000000118,0.18000289999999097,0.16245460000000378,0.1623257000000109,0.1624979000000053
33,0.15842959999999806,0.16169100000000114,0.16277009999999947,0.16313539999999804,0.20037659999999846,0.16281800000000146,0.16158370000000843,0.16265969999999186
34,0.15842099999999704,0.1632409000000017,0.16113909999999976,0.16237589999999713,0.17998470000000566,0.16080079999998986,0.16165759999999807,0.16092700000000093
35,0.15888400000000047,0.16293039999999692,0.16204000000000107,0.16258649999999975,0.17988119999999697,0.1618722000000048,0.1621869000000089,0.16363419999998996
36,0.1590718000000031,0.16236400000000017,0.16250760000000142,0.1629367999999971,0.18001999999999896,0.16287880000000143,0.16021550000000673,0.16237250000000358
37,0.15917039999999716,0.16233830000000182,0.16366919999999752,0.16107429999999923,0.1795388000000031,0.1615852999999987,0.16210630000000492,0.16228269999999156
38,0.15887449999999959,0.16200170000000114,0.1618442999999985,0.16251529999999903,0.17970259999999882,0.16269009999999184,0.16216850000000704,0.1617760999999973
39,0.15914670000000086,0.16280949999999805,0.162487500000001,0.16304050000000103,0.2683576999999957,0.16237689999999816,0.1619548999999978,0.1621872000000053
40,0.15839779999999948,0.16186640000000097,0.16275309999999976,0.16113580000000027,0.17979359999999645,0.16211540000000468,0.16169910000000698,0.16235100000000102
41,0.15897469999999814,0.1631305999999988,0.16212690000000052,0.16513630000000035,0.1797049000000044,0.16219329999999843,0.16160039999999753,0.16301810000000216
42,0.15852839999999802,0.16247830000000008,0.16193720000000056,0.16180559999999744,0.17954280000000722,0.16274989999999434,0.1627521999999999,0.1620553000000058
43,0.15881970000000223,0.16268230000000017,0.16347569999999934,0.16253080000000253,0.1791924999999992,0.16276080000000093,0.16690160000000276,0.16346430000000112
44,0.15906149999999997,0.1613313000000005,0.16244179999999986,0.16142539999999883,0.17955410000000427,0.1636950999999982,0.16079469999999674,0.16380550000000937
45,0.1591138999999977,0.16191260000000085,0.16272550000000052,0.16332859999999982,0.1787951000000021,0.16288099999999872,0.16264579999999285,0.16333250000000987
46,0.16140950000000132,0.1616786999999995,0.1612563999999992,0.16225060000000013,0.1796829000000031,0.16320970000001012,0.16400590000000648,0.16302029999999945
47,0.15926779999999852,0.16318300000000008,0.1624490999999999,0.16286189999999934,0.17951189999999428,0.16309379999999862,0.16261579999999753,0.16298519999999428
48,0.15946960000000132,0.1631046999999981,0.16153899999999766,0.1630547999999976,0.18001449999999863,0.16318600000001027,0.16361200000000053,0.16426669999999888
49,0.15882840000000442,0.16288159999999863,0.1615627000000046,0.1609245999999942,0.1791298999999924,0.1640997000000084,0.1618579000000011,0.1625597999999968
50,0.1590524000000002,0.2779366999999979,0.16358410000000134,0.16327470000000233,0.17960880000001112,0.16177849999999694,0.16213430000000528,0.16234969999999294
51,0.1607865000000004,0.16155380000000008,0.16075159999999755,0.16291349999999483,0.179782000000003,0.1630911000000026,0.1639952999999963,0.16241750000000366
52,0.15952859999999447,0.16325609999999813,0.1623985000000019,0.16236020000000195,0.18053269999998633,0.16333120000000179,0.1626599000000084,0.16321449999999516
53,0.15852379999999755,0.16270889999999838,0.16298839999999615,0.16384399999999744,0.18008170000000234,0.16217209999999227,0.1620443999999992,0.16215139999999906
54,0.15924340000000115,0.16386380000000145,0.16269559999999927,0.16360039999999998,0.17966909999999814,0.16361729999999852,0.16198949999999002,0.16330560000000105
55,0.1582439000000022,0.16305969999999803,0.16271960000000263,0.1629277999999985,0.18102079999999887,0.16169680000000142,0.17279310000000692,0.16323280000000295
56,0.15885380000000282,0.1643004000000019,0.16227070000000055,0.1629746000000054,0.19217940000000056,0.16203000000000145,0.16545990000000188,0.16247710000000382
57,0.15889270000000266,0.16241730000000132,0.16583469999999778,0.16306730000000158,0.1797411000000011,0.1620769000000024,0.1621900000000096,0.1656899999999979
58,0.15878269999999617,0.16155179999999802,0.1629813999999996,0.16389670000000223,0.17985619999998903,0.16193900000000383,0.1624270000000081,0.1625762999999978
59,0.1590619999999987,0.16253209999999996,0.1620147000000003,0.16102740000000182,0.17956209999999828,0.16222989999999982,0.16220429999999908,0.16249779999999703
60,0.1592751000000021,0.16317220000000532,0.1632874999999956,0.16222539999999697,0.1794933000000043,0.16241649999999197,0.16149779999999225,0.16421970000000385
61,0.15869909999999976,0.16237670000000293,0.16101450000000028,0.16356360000000336,0.191688599999992,0.16284240000000239,0.16198690000000227,0.16280290000000264
62,0.15915749999999917,0.16379279999999596,0.16360150000000573,0.16249489999999867,0.17936240000000225,0.16272610000000043,0.1627354999999966,0.16305649999999616
63,0.15897370000000421,0.16356909999999658,0.16301370000000048,0.163390899999996,0.1796135000000021,0.16204109999999616,0.16246079999999097,0.16300550000001124
64,0.16044720000000012,0.16748060000000464,0.16283200000000164,0.16266190000000336,0.1787393000000037,0.16297600000000045,0.16292490000000726,0.1620666999999969
65,0.15862100000000368,0.16296570000000088,0.1625955000000019,0.16242309999999804,0.18009249999998644,0.16289230000000998,0.16216839999999877,0.16233350000000257
66,0.15982230000000186,0.16239309999999563,0.1783028999999985,0.163318799999999,0.1796849999999921,0.16262190000000487,0.16296400000000233,0.17544170000000747
67,0.15902850000000512,0.16203550000000178,0.1627512999999965,0.16315349999999995,0.17948920000000612,0.16451109999999858,0.16184330000000102,0.1621606000000071
68,0.15929380000000037,0.1627909000000045,0.16228979999999638,0.16310359999999946,0.17917799999999318,0.16206499999999835,0.16293710000000772,0.16305619999999976
69,0.15927519999999618,0.1617339999999956,0.16291230000000212,0.16372039999999544,0.17878720000000214,0.1627751000000046,0.16233059999999,0.16435350000000426
70,0.15885380000000282,0.16196949999999788,0.16198669999999993,0.1618628999999956,0.18150280000000407,0.16688200000000109,0.1614119000000045,0.16203190000000234
71,0.15907560000000132,0.16282919999999734,0.16238690000000133,0.16312290000000473,0.17899140000000102,0.16229819999999506,0.16277680000000316,0.16209750000000156
72,0.15951440000000616,0.16272690000000267,0.16248079999999732,0.1627883999999966,0.17987479999999323,0.16491539999999816,0.16199709999999357,0.16250560000000291
73,0.15905599999999964,0.16214250000000163,0.16162640000000295,0.1680330000000012,0.17932239999998956,0.16228079999999068,0.16237999999999886,0.162532899999988
74,0.15888310000000416,0.1647287999999989,0.16206249999999756,0.16188070000000465,0.17996820000000469,0.169855400000003,0.16163650000000018,0.1644282999999973
75,0.1588105000000013,0.1626198999999957,0.1639809999999997,0.1637096999999983,0.17828360000000032,0.16193589999998892,0.1616363999999919,0.1626065999999895
76,0.15841190000000438,0.1622708000000017,0.16338980000000447,0.16229669999999885,0.1799815000000109,0.16357069999999396,0.16290320000000236,0.16258979999999212
77,0.15919979999999612,0.16240390000000104,0.16296999999999429,0.16076680000000465,0.19111099999999226,0.16252009999999473,0.16624559999999633,0.16166419999998993
78,0.1595154999999977,0.16225770000000495,0.16212200000000365,0.16256149999999536,0.17938529999999275,0.16224280000000135,0.16273969999998883,0.16219750000000488
79,0.15879400000000032,0.16181810000000496,0.16166270000000083,0.1625224000000003,0.17944849999999235,0.1625468000000012,0.16227279999999666,0.16233410000000958
80,0.15899990000000486,0.1692526000000001,0.16243539999999967,0.16270260000000292,0.1795308000000091,0.16254459999998971,0.16315539999999373,0.16228189999999643
81,0.15960230000000308,0.16231799999999907,0.16191909999999865,0.16235220000000083,0.18134419999999807,0.1623259999999931,0.162070700000001,0.16254139999999495
82,0.15927989999999426,0.16259409999999974,0.16381739999999922,0.1607024999999993,0.179961899999995,0.16210119999999506,0.16251809999999978,0.16144909999999868
83,0.15931160000000233,0.16231529999999594,0.16311830000000072,0.16282079999999866,0.17864790000000141,0.16208629999999857,0.16414110000000903,0.16246180000000265
84,0.1589313000000061,0.16253280000000103,0.16246150000000625,0.16087639999999936,0.17851699999999937,0.16167029999999727,0.1616374000000036,0.16325080000000014
85,0.15873870000000068,0.16296229999999667,0.16341189999999983,0.1632016999999948,0.17866920000000164,0.16181969999999524,0.16147819999999058,0.1628723999999977
86,0.15885959999999955,0.16476500000000271,0.16213160000000215,0.16208819999999946,0.1799000000000035,0.16237189999999657,0.16203409999999963,0.16219670000000974
87,0.15886460000000113,0.16263560000000155,0.16198010000000096,0.16282300000000305,0.17959289999998873,0.1627541000000008,0.1620190000000008,0.16240209999999422
88,0.1588655999999986,0.16260180000000446,0.16263329999999598,0.16261209999999693,0.18041870000000415,0.16269690000000026,0.16202250000000618,0.16266190000000336
89,0.15835690000000113,0.16486499999999893,0.16286139999999705,0.1628881999999976,0.17929479999999387,0.16193730000000528,0.16206410000000915,0.16258230000001106
90,0.15867800000000187,0.16266850000000233,0.16235560000000504,0.16324490000000225,0.17896489999998266,0.16047989999998435,0.16134389999999144,0.16158369999999422
91,0.15955879999999922,0.16496740000000187,0.162696099999998,0.1622593999999964,0.1789181000000042,0.16174060000000168,0.16234080000000972,0.16251299999998992
92,0.15923200000000293,0.16312320000000113,0.16256469999999723,0.1623829999999984,0.17964739999999324,0.1627676999999892,0.1612361999999905,0.16248219999999947
93,0.1590130999999957,0.16208439999999769,0.16233129999999818,0.16392980000000534,0.17924650000000497,0.1620460000000037,0.16161490000001777,0.16154299999999466
94,0.159427799999996,0.1631314000000046,0.1629365000000007,0.1635006000000061,0.17988470000000234,0.16656330000000708,0.1624247999999966,0.1632161999999937
95,0.15967310000000623,0.1634413999999964,0.16253309999999743,0.16239610000000226,0.1789780999999948,0.1617398999999864,0.16216529999999807,0.16141379999999117
96,0.1616532000000035,0.16344939999999042,0.16250569999999698,0.16473939999999487,0.1804932000000008,0.1621659000000193,0.16221269999999777,0.16253949999997985
97,0.15858020000000295,0.1637032000000005,0.16322850000000244,0.162913599999996,0.17990050000000224,0.16153370000000677,0.16217119999998886,0.16075619999998025
98,0.1593512999999973,0.16299459999999044,0.16400159999999175,0.1650352000000055,0.17966139999998632,0.16115189999999302,0.1625470999999834,0.1621005000000082
99,0.1585032000000126,0.16329009999999755,0.1623895000000033,0.16424290000000497,0.2141281000000106,0.16149079999999572,0.1622634000000005,0.162184400000001
AVERAGES
,0.15904486700000053,0.16406037699999987,0.1626685609999999,0.16279307699999981,0.18147927499999938,0.1626868419999994,0.1624978510000001,0.16272774599999976
